variant,family,size,nodes,ranks,threads_per_rank,total_cores,gpus,n_runs,wall_median,fom_median,rel_stddev_pct,serial_wall,speedup_vs_serial
openmp,CPU,medium,1,1,2,2,0,3,171.697,0.1490998677903516,0.2184716782469185,318.096,1.8526590447124878
openmp,CPU,medium,1,1,4,4,0,3,87.8082,0.29154452545434256,0.23564907524340442,318.096,3.622622944098615
openmp,CPU,medium,1,1,8,8,0,3,45.4093,0.5637611678664943,0.039896970416374695,318.096,7.005084861471108
openmp,CPU,medium,1,1,16,16,0,3,25.9538,0.9863680848276553,0.240947902773054,318.096,12.256239934036634
openmp,CPU,medium,1,1,32,32,0,3,13.9502,1.8350991383636077,0.3294086433368272,318.096,22.8022537311293
openmp45,GPU,easy,1,1,1,1,1,3,0.406021,24.62926794426889,0.10260516765434398,76.2821,187.8772280251514
openmp45,GPU,easy,1,2,1,2,2,3,1.55875,6.4153969526864465,1.020656455322863,76.2821,48.937995188452284
openmp45,GPU,easy,1,4,1,4,4,3,1.86134,5.372473594292284,0.4239955116799723,76.2821,40.982356796716346
openmp45,GPU,easy,1,8,1,8,8,3,2.49947,4.00084817981412,0.2844663077315816,76.2821,30.519310093739872
openmp45,GPU,hard,1,1,1,1,1,3,2.89174,13.832502230490984,0.01669597917458316,623.313,215.54946156985068
openmp45,GPU,hard,1,2,1,2,2,3,4.61692,8.663784514351558,0.3013213571688301,623.313,135.00623792485032
openmp45,GPU,hard,1,4,1,4,4,3,4.94013,8.096952914194567,0.13265485549244654,623.313,126.17340029513393
openmp45,GPU,hard,1,8,1,8,8,3,6.17269,6.480156949401314,0.26986041568009556,623.313,100.97915171505453
openmp45,GPU,medium,1,1,1,1,1,3,1.52822,16.751514834251616,0.06237469764117724,318.096,208.1480415123477
openmp45,GPU,medium,1,2,1,2,2,3,2.88784,8.864757050252091,0.4094870268947454,318.096,110.15014682253864
openmp45,GPU,medium,1,4,1,4,4,3,3.30446,7.747105427210497,0.08927636264812623,318.096,96.26262687398243
openmp45,GPU,medium,1,8,1,8,8,3,4.32204,5.92312889283764,0.1849342025863287,318.096,73.59857844906571
openmp45_2node,GPU,hard,2,8,1,8,8,3,3.28218,12.18702204022936,0.7739219593695236,623.313,189.90823172403708
openmp45_2node,GPU,hard,2,16,1,16,16,3,4.34705,9.201642493185032,0.32338261834359866,623.313,143.38758468386607
openmp45_2node,GPU,medium,2,8,1,8,8,3,2.46514,10.384805731114664,1.3815603633347107,318.096,129.03770171268164
openmp45_2node,GPU,medium,2,16,1,16,16,3,3.23633,7.910194572246959,0.11662444934604976,318.096,98.2891114317761
serial,CPU,easy,1,1,1,1,0,3,76.2821,0.13109235325194246,0.1643103418584362,76.2821,1.0
serial,CPU,hard,1,1,1,1,0,3,623.313,0.06417321634555993,0.20637110962820274,623.313,1.0
serial,CPU,medium,1,1,1,1,0,3,318.096,0.08047884915245712,0.3397532714635573,318.096,1.0
